,categories_en
7471,"Dairies,es:Manchego"
7472,fr:Caviars-d-aubergines
7473,"Spreads,Breakfasts,Sweet spreads,fr:Cremes-de-citron,fr:Cremes-de-fruits"
7474,"Dairies,Yogurts,Honey yogurts,Stirred yogurts,Sweetened yogurts"
7475,"Dairies,Cheeses,Cheeses from the United Kingdom,Cow Cheeses,Cheeses from England,Cheddar cheese,Mild cheddar"
7476,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Meals,Microwave meals,Plant-based meals,es:Cereales-preparees,es:Quinoa-precocinada"
7477,it:Cioccolatini
7478,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Desserts,Fruits based foods,Compotes,fr:Compotes-pommes-banane-fraise"
7479,"Plant-based foods and beverages,Plant-based foods,Canned foods,Legumes and their products,Canned plant-based foods,Canned legumes,Canned common beans,Canned white common beans"
7480,"Dairies,Yogurts,Fruit yogurts,fr:Yaourts-a-la-goyave"
7481,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Seeds,Cereal grains,Quinoa"
7482,"Fresh foods,Meals,Fresh meals,Starters,Coleslaw"
7483,"Plant-based foods and beverages,Plant-based foods,Canned foods,Meals,Microwave meals,Plant-based meals,Prepared vegetables,Canned meals,fr:Aubergines-cuisinees"
7484,fr:Gesiers-de-canard-confits
7485,"Fresh foods,Meats,Poultries,Chickens,Breaded products,Cooked chicken,fr:Poulets panés,Chicken nuggets"
7486,"Beverages,Alcoholic beverages,Wines,French wines,fr:Vin d'Alsace,fr:Sylvaner,fr:Vin-sec"
7487,fr:Mates
7488,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Seeds,Cereal grains,Meals,fr:Céréales préparées"
7489,fr:Oeufs-de-poules
7490,"Beverages,Breakfasts,Sugary snacks,Dairies,Chocolates,Cocoa powder,Non-sugared beverages"
7491,"Beverages,Hot beverages,Coffees,Coffee capsules,Ground coffees,Non-sugared beverages,fr:Cafes-en-dosettes-souples"
7492,"Beverages,Carbonated drinks,Sodas,Sugared beverages,Mixer"
7493,"Fresh foods,Sugary snacks,Dairies,Desserts,Chocolates,Dairy desserts,Chocolate desserts,Dessert creams,fr:Crèmes dessert chocolat"
7494,"Plant-based foods and beverages,Beverages,Plant-based foods,Legumes and their products,Plant-based beverages,Milk substitute,Plant milks,Legume milks,Soy milks,Non-sugared beverages,Sweetened natural soy milks"
7495,"Plant-based foods and beverages,Beverages,Plant-based foods,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices and nectars,Fruit juices,Non-Alcoholic beverages"
7496,"Beverages,Alcoholic beverages,Wines,Red wines,fr:Bourgogne-grand-ordinaire"
7497,"Sugary snacks,Biscuits and cakes,Desserts,Cakes,fr:Muffins,fr:Muffins à la fraise"
7498,"Sugary snacks,Confectioneries,Chocolates,Chocolates with almonds,Dark chocolates,Dark chocolates with almonds"
7499,"Plant-based foods and beverages,Plant-based foods,Spreads,Dairies,Plant-based spreads,Fats,Spreadable fats,Animal fats,Milkfat,Butters,de:Streichfette,Sour cream butters"
7500,"Fresh foods,Meals,Meals with meat,Poultry meals,Fresh meals,Turkey dishes"
7501,"Fresh foods,Dairies,Cheeses,Cooked pressed cheeses,Cow Cheeses,Pasteurized cheeses"
7502,Malt-drink
7503,"Dairies,Yogurts,fr:Yaourts-grecs"
7504,"Fresh foods,Meats,Prepared meats,Pork,fr:Charcuteries diverses,fr:Lardons,Pork belly,fr:Charcuteries à cuire,fr:Des-de-lardons,fr:Lardons-natures"
7505,"Frozen foods,Meals,Frozen ready-made meals,Fried foods,fr:Calmars,fr:Panes"
7506,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Legumes,Seeds,Legume seeds,Pulses,Butter beans"
7507,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Mixed cereal flakes,Mueslis,fr:Mueslis-aux-noix"
7508,fr:Marrons-entiers
7509,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Fresh plant-based foods,Vegetables based foods,Fresh vegetables,Vegetable rods,Artichokes,fr:Fonds-d-artichauts"
7510,it:Pasta-fresca
7511,"Canned foods,Seafood,Fishes,Canned fishes,Sardines,Canned sardines,Sardines in oil,Sardines in tomato sauce"
7512,"Fresh foods,Meals,Fresh meals,fr:Fougasses"
7513,"Beverages,Hot beverages,Coffees,Coffee capsules,Senseo-compatible coffee capsules,Sugared beverages,fr:Cafe-soluble-dosette-filtre-petit-dejeune"
7514,"Frozen foods,Meals,Meals with meat,Poultry meals,Duck dishes,Frozen ready-made meals,fr:Plats-aux-legumes"
7515,"Fresh foods,Spreads,Dairies,Fats,Spreadable fats,Animal fats,Milkfat,Butters,Half-salted butter,Pasteurized butters,fr:Beurres moulés"
7516,"Beverages,Hot beverages,Instant hot beverages,Sugared beverages,fr:Cappuccino"
7517,"Groceries,Sauces,Tzatzikis,fr:Sauces-froides"
7518,"Dairies,Yogurts,Plain stirred yogurts,Plain yogurts,Stirred yogurts"
7519,"Plant-based foods and beverages,Plant-based foods,Spreads,Desserts,Plant-based spreads,Nuts and their products,Chestnut spreads"
7520,"Plant-based foods and beverages,Plant-based foods,Canned foods,Meals,Plant-based meals,Canned meals,es:Judias-verdes-en-salsa-de-tomate"
7521,fr:Miel-de-manuka
7522,"Sugary snacks,Chocolates,Chocolates with almonds,Dark chocolates,Dark chocolates with almonds,Swiss chocolates"
7523,"Dairies,Desserts,Dairy desserts,Fruit-fools"
7524,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Dry pasta,fr:Farfalles,fr:Farfalles-completes,fr:Pates-seches-completes"
7525,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices and nectars,Fruit juices,Concentrated fruit juices,Grapefruit juices,fr:Jus de pamplemousse rose,Non-Alcoholic beverages"
7526,"Fresh foods,Dairies,Desserts,Yogurts,Fruit yogurts,Strawberry yogurts,Stirred strawberry yogurts,Stirred yogurts,Sweetened yogurts"
7527,"Meats,Poultries,Chickens,fr:Poulets-fermiers,fr:Poulets-jaunes"
7528,"Beverages,Alcoholic beverages,Artisan products,Ciders,Artisanal ciders,Artisanal spirits,Sparkling ciders,Sweet ciders"
7529,"Canned foods,Seafood,Fishes,Canned fishes,ru:Сайра,ru:Сайра-с-добавлением-масла-тихоокеанская-натуральная-консервированная,ru:Сайра-тихоокеанская,ru:Сайра-тихоокеанская-натуральная-с-добавлением-масла,ru:Сайра-тихоокеанская-с-добавлением-масла"
7530,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Seeds,Cereal grains,Groats,Buckwheat,Buckwheat groats,ru:Крупа-гречневая-ядрица-быстроразваривающаяся-экстра"
7531,"Canned foods,Meals,Gratins,Vegetable gratins,Canned meals,fr:Gratins de pomme de terre,fr:Gratins dauphinois"
7532,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Legumes and their products,Vegetables based foods,Canned plant-based foods,Legumes,Seeds,Canned vegetables,Legume seeds,Pulses,Canned legumes,Canned peas,Peas"
7533,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,fr:Steak-de-cereales"
7534,"Sugary snacks,Confectioneries,Bars,Waffles,Stuffed waffles,Caramel stuffed wafers,Chocolate bars,Stuffed wafers,Wafers,fr:Gaufrettes-au-chocolat"
7535,Bieres
7536,"Dairies,Cheeses,Uncooked pressed cheeses,Pasteurized cheeses,Goat cheese"
7537,"Groceries,Condiments,Sauces,Mustards,fr:Moutardes-a-la-truffe"
7538,"Dairies,Cheeses,Pasteurized cheeses,Goat cheese,fr:Fromages blancs"
7539,fr:Melange-salades
7540,"Meals,Meals with meat,Microwave meals,Meals with rabbit or hare,fr:Plats à base de lapin"
7541,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Meals,Microwave meals,Soups,Plant-based meals,Refrigerated foods,Fresh meals,Refrigerated meals,Refrigerated soups"
7542,"Meats,Pork,Bacon,Bacon rashers,Dry-cured-streaky-bacon-rashers,Streaky-bacon-rashers"
7543,"Beverages,Syrups,Flavoured syrups,Mint syrups,Non-sugared beverages,Sugared beverages"
7544,"Beverages,Alcoholic beverages,Wines,Red wines,fr:Igp-cotes-d-auvergne"
7545,"Salty snacks,Appetizers,Chips and fries,Crisps,Corn chips"
7546,"Sugary snacks,Dairies,Desserts,Chocolates,Dairy desserts,Chocolate desserts,Dairy chocolate desserts,fr:Desserts-au-cafe,fr:Desserts-au-caramel"
7547,"Dairies,Desserts,Yogurts,Fruit yogurts,Sweetened yogurts,fr:Yaourts multifruits"
7548,"Plant-based foods and beverages,Beverages,Plant-based foods,Legumes and their products,Plant-based beverages,Milk substitute,Plant milks,Legume milks,Soy milks,Chocolate soy milks,Non-sugared beverages"
7549,4
7550,Leite
7551,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Desserts,Fruits based foods,Baby foods,Compotes,Apple compotes,Snacks and desserts for babies,Peach applesauce,fr:Compotes à boire,fr:Compotes pour bébé"
7552,"Meals,Meals with meat,Microwave meals,Meals with rabbit or hare"
7553,"fr:Preparation-pour-quiche,fr:Preparations-culinaires"
7554,"Meats,Prepared meats,Artisan products,fr:Saucissons,fr:Saucissons artisanaux"
7555,"Beverages,Alcoholic beverages,Beers,fr:Bieres-vietnamiennes"
7556,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices and nectars,Fruit juices,Concentrated fruit juices,Apple juices,Concentrated apple juices,fr:Jus-de-pomme-et-de-cerises,Non-Alcoholic beverages"
7557,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Cereals and potatoes,Vegetables based foods,Canned plant-based foods,Cereals and their products,Canned vegetables,Vegetable-based foods and beverages,Canned cereals,Canned corn,Vegetable-based foods"
7558,"Dairies,Cheeses,Soft cheeses with bloomy rind,Pasteurized cheeses,Sheep Cheeses,fr:Perail,fr:Perail-de-brebis"
7559,"Beverages,Dairies,Dairy drinks,Flavoured milks,Chocolate milks,Non-sugared beverages,fr:Leite-com-chocolate-uht-1-1-de-materia-gorda"
7560,"Meals,Starters,Cold starters"
7561,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Flatbreads,ru:Лепешка-пита-в-упаковке"
7562,"Meats,fr:Autruche,fr:Pave-d-autruche"
7563,"Sugary snacks,Chocolates,Dark chocolates,Dark chocolates with sweeteners"
7564,"Dried products,Meals,Meals with meat,Microwave meals,Beef dishes,Dried meals,Shepherd's pie,fr:Hachis-parmentier-deshydrate"
7565,"Plant-based foods and beverages,Plant-based foods,Frozen foods,Frozen plant-based foods,Mushrooms and their products,Frozen mushrooms,fr:Truffes-surgelees"
7566,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Seeds,Cereal grains,Rices,Japonica rices,Medium grain rices,White rices,Carnaroli rices,Rices for risotto"
7567,"Beverages,Sugared beverages,fr:Boissons-isotoniques,fr:Preparation-pour-boisson-isotonique"
7568,"Meats,Snails,Snails from Burgundy,fr:Escargots-en-conserve"
7569,it:Piatti-pronti
7570,"Sugary snacks,Biscuits and cakes,Biscuits,Waffles,fr:Gaufres liegeoises"
7571,"Desserts,Frozen foods,Frozen desserts,Ice pops"
7572,"Frozen foods,fr:Tortelini"
7573,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Flours,Cereal flours,Barley flours"
7574,"Beverages,Alcoholic beverages,Beers,Beers with fruits,Beers with chestnut"
7575,"xx:Fiskekonserves,xx:Helkonserves"
7576,"Vinegars,fr:Vinaigres-de-framboises"
7577,"Beverages,Alcoholic beverages,Artisan products,Beers,Amber beers,Artisanal spirits,Craft beers,fr:Bieres-americaines,fr:Indian-pale-ale"
7578,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seafood,Cereals and their products,Fishes,Meals,Microwave meals,Meals with fish,Noodles,Salmons,Egg noodles,Egg tagliatelle"
7579,"Fresh foods,Meats,Prepared meats,Meals,fr:Boudins,Starters,fr:Boudins blancs,fr:Boudins-blancs-au-porto,fr:Entrees-chaudes"
7580,"Farming products,Bird eggs,Eggs,Fresh eggs,ru:Яйца-куриные-пищевые-столовые-первой-категории-с1"
7581,"Seafood,Fishes,Frozen foods,Meals,Fish fillets,Microwave meals,Meals with fish,Frozen ready-made meals,Pollock fillets,Pollocks"
7582,"Beverages,Alcoholic beverages,Wines,French wines,White wines,fr:Val de Loire,fr:Sauvignon"
7583,"Dairies,Yogurts,Fruit yogurts,fr:Yaourts au Bifidus,fr:Yaourts multifruits"
7584,"Beverages,Alcoholic beverages,Beers,de:Alkoholisch"
7585,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Dried products,Dried plant-based foods,Tomatoes and tomato products,Dried vegetables,Dried tomatoes,Natural dried tomatoes"
7586,fr:Cafes-en-grains
7587,"Fresh foods,Meals,Fresh meals,fr:Tielles-setoises"
7588,Spices-seasoning-mixes
7589,Mint-jelly
7590,"Dairies,Yogurts,Plain yogurts"
7591,"Plant-based foods and beverages,Plant-based foods,Pickles,Olive tree products,Plant-based pickles,Olives,Marinated olives,fr:Cocktails-d-olives"
7592,Apple-cider-vinegar
7593,"Sugary snacks,Biscuits and cakes,Desserts,Cakes,fr:Cakes-aux-raisins"
7594,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Tagliatelle"
7595,"Beverages,Alcoholic beverages,Ciders,fr:Cidres-anglais"
7596,fr:Gateaux-de-riz
7597,Ramen
7598,"Beverages,Alcoholic beverages,Beers,Belgian beers,Lagers,fr:Bieres-de-haute-fermentation"
7599,"Meals,Meals with meat,Microwave meals,Beef dishes,fr:Chili-con-carne-au-riz"
7600,"Beverages,Dairies,Yogurts,Drinkable yogurts,Non-sugared beverages,fr:Yaourts-a-boire-gout-framboise"
7601,"Meals,Meals with meat,Microwave meals,Poultry meals,Turkey dishes"
7602,fr:Poudre-alimentaire
7603,"Fresh foods,Meats,Beef,Fresh meats,Beef steaks,fr:Steaks-de-boeuf-frais"
7604,"Sugary snacks,Chocolates,fr:Pepitas-de-chocolate-negro"
7605,"Meats,Spreads,Prepared meats,Salted spreads,Seafood,Rillettes,Fish rillettes,fr:Rillettes de truite,fr:Rillettes spéciales"
7606,"Plant-based foods and beverages,Plant-based foods,Seafood,Seaweeds and their products,Caviar substitutes,Seaweed products,Caviar substitutes from algae"
7607,"Fresh foods,Meats,Spreads,Prepared meats,Salted spreads,Savory mousses,fr:Mousses de canard,fr:Mousses de canard au porto"
7608,"Groceries,Sauces,Mayonnaises,Sunflower oil mayonnaises"
7609,"Fresh foods,Fish and meat and eggs,Meals,Microwave meals,Offals,Fresh meals,Gizzards,fr:Gesiers-de-volaille,fr:Plats-prepares-a-rechauffer-au-bain-marie"
7610,"Spreads,Canned foods,Salted spreads,Seafood,Fishes,Canned fishes,Tunas,Fish rillettes,Canned tunas,Tuna rillettes"
7611,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Canned vegetables,Meals,Plant-based meals,Canned meals,fr:Poêlées,fr:Melanges-de-legumes"
7612,pl:Herbata
7613,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Culinary plants,Aromatic plants,Aromatic herbs,Mint,Pennyroyal"
7614,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,fr:Cereales-au-chocolat,fr:Mueslis-croustillants"
7615,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Canned vegetables,fr:Endives-en-conserve"
7616,"Fresh foods,Meals,Meals with meat,Fresh meals,Pork meals,Puff pastry meals,fr:Friands"
7617,"Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Plant-based beverages,Milk substitute,Plant milks,Cereal milks,Natural rice milks,Non-sugared beverages,Rice milks"
7618,"Sugary snacks,Biscuits and cakes,Pies,Biscuits,Tartlets,fr:Tartelettes au citron"
7619,es:Rotwein
7620,"Sugary snacks,Biscuits and cakes,Desserts,Cakes,Pastries,fr:Saint-honore"
7621,"Fresh foods,Seafood,Meals,Fresh meals"
7622,"Desserts,Desserts-glaces,Glaces,Glaces-et-sorbets,Surgeles"
7623,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Meals,Soups,fr:Soupe-potiron-carottes"
7624,"Plant-based foods and beverages,Plant-based foods,Pickles,Olive tree products,Plant-based pickles,Olives,Green olives,Whole olives,Whole green olives,fr:Olives-assaisonnees"
7625,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Dry pasta,fr:Macaroni,fr:Macaroni-aux-oeufs,fr:Pates-seches-aux-oeufs"
7626,Bhuja
7627,"Beverages,Alcoholic beverages,Hard liquors,fr:Eaux-de-vie,Whisky,American whiskeys"
7628,"Sugary snacks,Biscuits and cakes,Pryaniki,Gingerbreads,Biscuits"
7629,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Zwieback,fr:Pains croustillants"
7630,"Sandwiches,Cheese sandwiches,Goat cheese sandwiches,fr:Prefou-au-chevre"
7631,it:Bibite
7632,"Spreads,Breakfasts,Sweet spreads,fr:Cremes-de-nougat"
7633,"Meals,Baby foods,Meals with meat,Beef dishes,From 8 months,Main meals for babies,Shepherd's pie"
7634,"Fresh foods,Dairies,Desserts,Yogurts,Sweetened yogurts,Vanilla yogurt"
7635,"Fresh foods,Meals,Fresh meals,fr:Céréales préparées,Fried rice,fr:Riz préparés"
7636,fr:Confit-de-tomates-sechees
7637,"Sugary snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,fr:Biscuits-fourres"
7638,"Breakfasts,Products sold before year 2000,Products sold in the 1970s,fr:Archeologie-dordogne-annees-1970,fr:Petits-dejeuners-instantanes"
7639,"Fresh foods,Breaded products"
7640,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Spices,fr:Muscade"
7641,"Fresh foods,Dairies,Cheeses,Cow Cheeses,French cheeses,Soft cheeses with bloomy rind,Thermised milk cheeses,Saint-Félicien cheese"
7642,"Fresh foods,Meals,Fresh meals,Starters,Cold starters,fr:Céleris Rémoulade,fr:Crudites"
7643,fr:Filtes-de-cabillaud
7644,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream bars,Chocolate ice cream tubs,Ice cream tubs,Vanilla ice cream bars,Vanilla ice cream tubs"
7645,"Fresh foods,Meats,Prepared meats,Pork,fr:Charcuteries diverses,fr:Lardons,Pork belly,Smoked lardons,fr:Charcuteries à cuire,fr:Allumettes-de-lardons,fr:Charcuteries-allegees-en-matieres-grasses"
7646,"Sweeteners,Sugars,Cane sugar,fr:Sucres en poudre"
7647,"Beverages,Alcoholic beverages,Wines,White wines,fr:Chasselas-de-geneve"
7648,"Spreads,Breakfasts,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys,Honeys from France,fr:Miels crémeux,fr:Miels de Poitou-Charentes"
7649,"Dairies,Cheeses,fr:Fromages blancs,fr:Fromages-blancs-de-chevre,fr:Produits-laitiers-a-base-de-lait-de-chevre"
7650,"Meats,Prepared meats,fr:Charcuteries diverses,fr:Pates-de-foie"
7651,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Canned vegetables,Tomatoes and tomato products,Canned tomatoes,Peeled tomatoes"
7652,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Cereals and potatoes,Cereals and their products,Meals,Meals with meat,Microwave meals,Pastas,Pots,Stuffed Pastas,Fresh meals,Pasta in a box,Pork meals,fr:Tortellini-a-la-carbonara"
7653,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Cereals and potatoes,Cereals and their products,Meals,Pastas,Stuffed Pastas,Fresh meals,Fresh pasta,fr:Raviolis-au-jambon"
7654,"Dairies,Cheeses,Cow Cheeses,Mountain products,Mountain cheeses,Unpasteurised cheeses,fr:Tommes"
7655,"Beverages,Carbonated drinks,Non-sugared beverages,ru:Напиток-безалкогольный-на-ароматизаторах-сильногазированный-со-вкусом-тархуна-тархун,ru:Тархун"
7656,"Beverages,Alcoholic beverages,Products sold before year 2000,Products sold in the 1970s,fr:Archeologie-dordogne-annees-1970"
7657,White-plain-flour
7658,"Meals,Gratins,Microwave meals,Meals with fish,fr:Gratins de poisson"
7659,"Meals,Meals with fish,fr:Brandade de morue,fr:Brandade de Morue parmentière"
7660,"Spreads,Breakfasts,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys,fr:Miels réputés,fr:Miels de sapin"
7661,"Beverages,Alcoholic beverages,Beers,Beers with fruits,Cherry beers,Flavored beers,Wheat beers"
7662,"Fresh foods,Fish and meat and eggs,Meals,Offals,Fresh meals,fr:Confit-de-foie-de-volaille,fr:Foies-de-volaille"
7663,"Waffles,fr:Gaufres-au-chocolat"
7664,Diced-pork
7665,"Dairies,Yogurts,fr:Stracciatella"
7666,"Fresh foods,Meats,Spreads,Prepared meats,Salted spreads,Savory mousses,fr:Mousses de foies,fr:Mousses-de-foie-de-porc"
7667,"Fresh foods,Meats,Prepared meats,Hams,fr:Jambons crus,Dried hams"
7668,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Canned foods,Fresh plant-based foods,Vegetables based foods,Canned plant-based foods,Fresh vegetables,Canned vegetables,Cucumbers"
7669,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Breads,Special breads,English muffins"
7670,"Beverages,Alcoholic beverages,Wines,French wines,Sparkling wines,fr:Clairette de Die"
7671,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Groceries,Condiments,Fresh plant-based foods,Vegetables based foods,Culinary plants,Fresh vegetables,Garlic and their products,Garlic"
7672,"Beverages,Carbonated drinks,Sodas,Non-sugared beverages,Sugared beverages"
7673,"Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Herbal teas,Teas,Lemon teas,Sugared beverages"
7674,"Plant-based foods and beverages,Plant-based foods,Sugary snacks,Confectioneries,Christmas foods and drinks,Dried products,Christmas sweets,Dried plant-based foods,es:Panes-de-arandanos-rojos,es:Panes-de-frutas-desecadas"
7675,"Beverages,Hot beverages,Coffees,Instant hot beverages,Decaffeinated coffees,Instant coffees,Decaffeinated instant coffees,Non-sugared beverages"
7676,it:Fromage-frais
7677,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Spreads,Breakfasts,Vegetables based foods,Plant-based spreads,Sweet spreads,Fruit preserves,Jams,Vegetable jams,es:Cabello-de-angel"
7678,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices and nectars,Fruit juices,Grape juices,Squeezed juices,fr:Jus-de-raisin-pur-jus,Non-Alcoholic beverages"
7679,"Meals,Microwave meals,Sauerkrauts,fr:Choucroutes-garnies"
7680,"Groceries,Dairies,Creams"
7681,"Meats,Prepared meats,fr:Saucissons,fr:Saucissons à l'ail,fr:Saucissons cuits"
7682,"Spreads,Salted spreads,Meals,Meals with fish,fr:Brandade de morue"
7683,"Plant-based foods and beverages,Plant-based foods,Meals,Plant-based meals,fr:Boulettes"
7684,"Meats,Prepared meats,Poultries,fr:Charcuteries cuites,Turkeys,fr:Jambons-de-dinde"
7685,Sirloin-steak
7686,"Meals,Meals with meat,Poultry meals,Meals with chicken,fr:Plats préparés à faible teneur en matières grasses"
7687,"Meats,Beef,fr:Beefsteak"
7688,"Beverages,Syrups,Flavoured syrups,Mint syrups,Non-sugared beverages,Sugared beverages,fr:Sirop-de-menthe-verte"
7689,"Meals,Microwave meals,fr:Céréales préparées,Fried rice,fr:Riz préparés"
7690,"Dairies,Cheeses,Italian cheeses,it:Taleggio"
7691,"Sugary snacks,Biscuits and cakes,Biscuits,fr:Biscuits secs,Diet Biscuits,fr:Biscuits sablés"
7692,"Sugary snacks,Biscuits and cakes,Biscuits,fr:Biscuits secs,fr:Biscuits-fins"
7693,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Dried plant-based foods,Dried fruits,Raisins,fr:Raisins-blonds"
7694,"Meals,fr:Poêlées,fr:Poêlées à la sarladaise"
7695,"Sugary snacks,Biscuits and cakes,Desserts,Cakes,Pastries,fr:Clafoutis,fr:Clafoutis-aux-pommes,fr:Desserts-patissiers"
7696,Seafood-salad
7697,fr:Pains-precuitspains-sans-gluten
7698,"Fresh foods,Dairies,Desserts,Dairy desserts,fr:Desserts lactés à la vanille"
7699,Chorizos
7700,"Salty snacks,Appetizers,Crackers,Test,Test2"
7701,"Meats,Prepared meats,Sausages,fr:Viande de lapin,fr:Saucisses-de-lapins"
7702,fr:Feculents
7703,"Frozen foods,Meals,Meals with meat,Beef dishes,Frozen ready-made meals,Shepherd's pie,fr:Hachis-parmentier-surgele"
7704,"Plant-based foods and beverages,Beverages,Plant-based foods,Groceries,Condiments,Hot beverages,Plant-based beverages,Seeds,Herbal teas,Spices,Fennel,Fennel seeds,Non-sugared beverages"
7705,fr:Genoises-nappees-de-chocolat-noir-fourrees-frambroise
7706,"Sugary snacks,Biscuits and cakes,Desserts,Biscuits,fr:Biscuits sablés"
7707,"Sugary snacks,fr:Genoises"
7708,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Fresh plant-based foods,Vegetables based foods,Fresh vegetables,Endives"
7709,"Spreads,Salted spreads,fr:Caviars-d-aubergine"
7710,"Plant-based foods and beverages,Plant-based foods,Canned foods,Legumes and their products,Canned plant-based foods,Canned legumes,Canned common beans,Canned white common beans,fr:Legumes-bio"
7711,"Meals,Gratins,Microwave meals,Vegetable gratins,fr:Gratins de pomme de terre,fr:Tartiflettes"
7712,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Dry pasta,fr:Pâtes seches aromatisées et colorées,fr:Papillons,fr:Pates-seches-semi-completes"
7713,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Meals,Soups"
7714,"Dairies,Milks,Fresh milks,Whole milks"
7715,"Salty snacks,Appetizers,Crackers,fr:Galichons"
7716,"Salty snacks,Appetizers,Chips and fries,Crisps,Potato crisps,Flavoured potato crisps,ru:Чипсы-из-натурального-картофеля-со-вкусом-краба"
7717,es:Charcuteria
7718,"Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Almonds,Salted almonds,Grilled almonds"
7719,"Plant-based foods and beverages,Plant-based foods,Spreads,Plant-based spreads,Nuts and their products,Chestnut spreads,fr:Creme-de-marrons-de-l-ardeche"
7720,"Dairies,Desserts,Yogurts,Sheep's milk yogurts"
7721,"Sugary snacks,Biscuits and cakes,Pastries,Pie dough,fr:Pâtes brisées,fr:Pate-a-gateaux"
7722,fr:Boisson-au-jus-de-pomme
7723,"Pie dough,fr:Sans-gluten,fr:Sans-lactose"
7724,fr:Purees-de-pistache
7725,"Beverages,Alcoholic beverages,Beers,Flavored beers,Lagers,fr:Rum-flavored-beer"
7726,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Crêpes and galettes,Galettes"
7727,fr:Confits-de-figues
7728,"Sandwiches,Poultry sandwiches,Chicken sandwiches,fr:Wrap"
7729,"Beverages,Alcoholic beverages,Wines,White wines,Soave"
